DISCOUNT_PRICE,LIST_PRICE,SIZE,BRAND,RESOLUTION,MODEL,COMPANY,LINK
38999,49999,55,SAMSUNG,4K,UN55MU6300GCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-55-4k-ultra-hd-un55mu6300gcdf/bd1b54c3c5
38999,49999,55,SAMSUNG,4K,UN55MU6100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-55-samsung-un55mu6100-501808
44999,None,55,LG,4K,55UK6550PSB,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-55-4k-ultra-hd-55uk6550psb/aa5d42701f
44999,68749,55,SONY,4K,XBR55X805E,GARBARINO,https://www.garbarino.com/producto/smart-tv-sony-55-4k-ultra-hd-xbr-55x805e/0efbd22ab4
44999,68749,55,SONY,4K,XBR55X805E,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-55-sony-xbr55x805e-10010152
47999,59999,55,PHILIPS,4K,55PUG8513/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-55-4k-ultra-hd-55pug851377/0de708b14c
49999,59999,55,PHILIPS,4K,55OLED873/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-55-4k-ultra-hd-55oled87377/dae657f4dc
39999,49999,60,HYUNDAI,4K,HYLED60UHD,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-uhd-hyundai-hyled-60uhd-501887
42999,49999,65,TCL,4K,L65P6,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-65-tcl-l65p6-501832
49999,64999,65,PHILIPS,4K,65PUG6703/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-65-4k-ultra-hd-65pug670377/00f5b8a890
54999,69999,65,SAMSUNG,4K,UN65MU6100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-65--samsung-un65mu6100-501738
57999,81249,65,SONY,4K,KD65X755F.,GARBARINO,https://www.garbarino.com/producto/smart-tv-sony-65-4k-ultra-hd-kd-65x755f./90f6932ffb
57999,81249,65,SONY,4K,KD65X755F,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-65-sony-kd65x755f-10010145
59999,69999,65,SAMSUNG,4K,UN65NU7100GCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-65-4k-ultra-hd-un65nu7100gcdf/2b09fe35df
67999,None,65,PHILIPS,4K,65PUG8513/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-65-4k-ultra-hd-65pug851377/e2fb33c657
69999,99999,65,SONY,4K,XBR65X856F,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-65-sony-xbr65x856f-10010149
69999,79999,75,PHILIPS,4K,PUG8502/77,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-75--philips-pug8502-77-501768
106999,179999,75,LG,4K,75UJ6580,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-75-4k-ultra-hd-75uj6580/7cc7b49018
149999,220999,75,SONY,4K,XBR75X855F,GARBARINO,https://www.garbarino.com/producto/smart-tv-sony-75-4k-ultra-hd-xbr-75x855f/7eb8b075ac
149999,187499,75,SONY,4K,XBR75X855F,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-75-sony-xbr75x855f-10010157
197999,299999,75,SAMSUNG,4K,UN75MU7000,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-75-4k-ultra-hd-un75mu7000/c4c3355f43
299999,379999,75,SAMSUNG,4K,QN75Q8C,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-75-4k-ultra-hd-qn75q8c/88e4912952
