FRAVEGA,list_price,discount_price
Heladera No Frost Whirlpool WRM54AB 426Lt,49.299,38.799
Heladera No Frost Electrolux TF51X 433Lts,56.999,None
Heladera Cíclica Gafa HGF357AFP Plata 286Lts,26.999,23.999
Heladera No Frost Whirlpool Top Mount 354 Lts WRM39D2,39.999,37.999
Heladera Ciclica Columbia HTP 2334H 317Lt,23.999,21.499
Heladera Ciclica Columbia HTF 2434H 414LT,24.799,22.799
Heladera No Frost Whirlpool WRM39FBDWA 352Lt Blanca,39.999,29.999
Heladera Side by Side No Frost Patrick SBSPK521I 521Lt,79.999,69.999
Heladera Side by Side Samsung RS25H5223SL 620Lt,154.999,134.999
Freezer Whirlpool WHB42D1 417Lt,35.999,27.999
Heladera Cíclica Sigma SIH340B 340Lt Blanco,22.999,19.999
Heladera Cíclica Philco PHCT290X/01 290Lt,27.099,21.999
Freezer Horizontal 220 L Blanca Patrick FHP220B,22.82,20.499
Freezer Horizontal 300 L Blanca Patrick FHP300B,25.441,20.999
WHA22D1,25.899,20.999
WHA31D1,28.699,22.999
WHB42D1,35.999,28.999
WVU27D1,34.299,27.999
Freezer Vertical Electrolux EFUP195YAMG 150 Litros Gris,28.599,None
WRA09R1,20.299,16.999
WRA09B2,20.299,16.999
Heladera Ciclica 364 L Silver Patrick HPK141M10S,29.803,24.999
Heladera Ciclica 364 L Silver Patrick HPK141M00S,29.017,24.999
Heladera con Freezer No Frost GE 424L Inox HGE455M12L,53.084,None
Heladera No Frost Patrick RRS1540BGRX0 421Lt,47.0,39.999
Heladera No Frost Whirlpool WRM56K1 462 Lt,58.999,47.999
Heladera No Frost Whirlpool WRE57K1 480Lt,59.999,47.999
Heladera No Frost Electrolux TF52 Blanca 464Lts,66.299,None
Heladera No Frost Electrolux TF52X Inox. 497Lts,69.899,None
Heladera No Frost Electrolux DXW51 441Lts,66.599,None
Heladera con Freezer No Frost 319 L Acero Inoxidable GE Appliances RGA1130YGRE0,35.499,30.499
Heladera Cíclica Columbia HTF 2294/G Blanca 276Lt,20.894,19.999
Heladera Samsung RT43 TOP MOUNT,68.499,None
WVU27K1,34.599,27.999
Heladera con freezer no frost 409 L Acero Inoxidable GE Appliances HGE450M00L,43.999,None
Lavarropas Carga Frontal Electrolux 8 Kg 1200 RPM ELAF08W,24.899,19.999
Lavarropas Carga Frontal Philco 6Kg 1000 RPM PHLF060B/03,20.499,14.999
Lavarropas Carga Frontal Drean 8Kg 1200 RPM Next 8.12,23.499,18.999
Lavarropas Carga Frontal Drean 6 Kg 800 RPM Next 6.08,19.999,16.999
Secarropas por Calor Columbia SCP 6000,4.219,3.899
Lavarropas Carga Superior Drean 5Kg 500 RPM Concept 5.05 V1,13.999,12.999
Lavarropas Carga Frontal Drean 6 Kg 600 RPM Next 6.06,18.999,14.999
Lavarropas Carga Frontal Samsung 7kg 1200 RPM WW70M2WEUU,28.499,24.999
Lavarropas Electrolux Carga Superior 6.5Kg 800 RPM Digital Wash,18.299,14.499
Lavarropas Carga Superior Whirlpool 10Kg 720 RPM WWI16BB,33.899,25.999
Lavarropas Carga Frontal Inverter Whirlpool 7Kg 1400 RPM WLCF70BAAR,30.599,20.999
Lavarropas Philco Carga Superior 7 Kg 700 RPM WM-PH08,18.699,15.599
Secarropas por Calor Ariston AQUATISAQC9BF7T1AG 9Kg,27.299,22.699
Lavarropas Carga Frontal Drean 7 Kg 1000 RPM Next 7.10,21.999,18.499
Secarropas Centrifugo Koh-I-Noor C-755/2 5.5Kg,4.959,4.599
Lavarropas Semiautomático Carga Superior Drean 5.5Kg Family 096A,7.999,7.599
Lavarropas Carga Superior Electrolux 6.5 Kg 800 RPM FUZZYWASH,20.399,14.999
Lavarropas Carga Frontal Electrolux ELAF07W 7kg,23.899,18.999
Lavasecarropas Carga Frontal Longvie 8Kg 5Kg 1200 RPM LS18012,29.999,25.999
Lavarropas Carga Superior Drean 6 Kg 1000 RPM GOLD BLUE 10.6 ECO+,25.999,21.999
Lavarropas Carga Frontal Longvie 6.5 Kg 800 RPM L16508,17.999,14.999
Lavasecarropas Carga Frontal Inverter Philco 10Kg 7Kg 1600 RPM PHLS100P,42.999,36.999
Lavarropas Carga Superior Electrolux 8,5kg 700 RPM LI85Y Blanco,22.999,17.999
Lavasecarropas Carga Frontal Inverter Samsung 10 Kg 6 Kg 1400 RPM WD10J6410AX,59.499,45.999
Lavarropas Carga Superior Whirlpool 10Kg 720 RPM WWI16BS,33.999,24.999
Lavarropas Carga Frontal Samsung 7Kg 1200 RPM WW70M2WECU,26.499,None
Lavasecarropas Carga Frontal Inverter Midea 12Kg 8 Kg 1200 RPM WD-LC312SAR1,42.999,39.999
Lavarropas Carga Frontal Longvie 6.5 Kg 1000 RPM L16510,18.999,16.999
Lavarropas Carga Superior Drean 6 Kg 800 RPM GOLD BLUE 8.6 ECO+,24.999,22.999
Lavarropas Carga Superior Drean 5 Kg 500 RPM FUZZY LOGIC,14.499,12.999
Lavarropas Whirlpool Carga Superior 9 Kg 720 RPM WWI13BB,31.899,24.999
Lavarropas Carga Frontal Longvie 8 Kg 1200 RPM L18012,20.999,17.999
Lavarropas Carga Superior Electrolux 6.5 Kg 800 RPM Digital Wash,18.599,13.999
Secarropas por Calor Inverter 9 KG Electrolux ESEF09B Blanco,35.599,29.999
Lavarropas Philco Inverter Carga Frontal 10 Kg 1600 RPM PHLF101B/03,30.999,22.999
Lavarropas Carga Frontal Inverter Whirlpool 9Kg 1400 RPM WLCF90SAAR,41.199,27.999
Lavavajilla Candy KCDPA 7512HX 15C Inoxidable,27.999,24.299
Secarropas por Calor Ariston TCF 97C 6H1 AG 9Kg,25.199,20.899
Lavarropas Carga Frontal Inverter Whirlpool 10KG 1400 RPM WLCF10BAAR,44.999,29.999
Lavarropas Carga Superior Candy 8 kg 1000 RPM Vita CVST810T,25.999,22.499
